   Elapsed time;   ECG1
          1.312;  0.020
          1.320; -0.020
          1.328; -0.130
          1.336; -0.130
          1.344; -0.130
          1.352; -0.100
          1.359; -0.100
          1.367; -0.100
          1.375; -0.110
          1.383; -0.110
          1.391; -0.090
          1.398;  0.160
          1.406;  0.430
          1.414;  0.750
          1.422; -1.520
          1.430; -1.930
          1.438; -1.360
          1.445; -1.110
          1.453; -0.440
          1.461; -0.080
          1.469; -0.060
          1.477; -0.040
          1.484;  0.000
          1.492;  0.020
          1.500;  0.050
          1.508;  0.060
          1.516;  0.060
          1.523;  0.090
          1.531;  0.090
          1.539;  0.100
          1.547;  0.120
          1.555;  0.140
          1.562;  0.140
          1.570;  0.160
          1.578;  0.190
          1.586;  0.210
          1.594;  0.210
          1.602;  0.240
          1.609;  0.250
          1.617;  0.250
          1.625;  0.250
          1.633;  0.260
          1.641;  0.240
          1.648;  0.210
          1.656;  0.190
          1.664;  0.170
          1.672;  0.110
          1.680;  0.070
          1.688;  0.050
          1.695;  0.010
          1.703;  0.010
          1.711; -0.010
          1.719;  0.010
          1.727;  0.000
          1.734;  0.010
          1.742;  0.020
          1.750;  0.010
          1.758;  0.010
          1.766;  0.020
          1.773;  0.020
          1.781;  0.010
          1.789;  0.010
          1.797;  0.020
          1.805;  0.020
          1.812;  0.020
          1.820;  0.020
          1.828;  0.020
          1.836;  0.020
          1.844;  0.020
          1.852;  0.030
          1.859;  0.030
          1.867;  0.020
          1.875;  0.020
          1.883;  0.020
          1.891;  0.030
          1.898;  0.010
          1.906;  0.010
          1.914;  0.000
          1.922; -0.020
          1.930;  0.000
          1.938; -0.010
          1.945; -0.020
          1.953; -0.020
          1.961; -0.020
          1.969; -0.020
          1.977; -0.030
          1.984; -0.040
          1.992; -0.050
          2.000; -0.050
          2.008; -0.060
          2.016; -0.060
          2.023; -0.060
          2.031; -0.060
          2.039; -0.060
          2.047; -0.060
          2.055; -0.060
          2.062; -0.060
          2.070; -0.020
          2.078; -0.020
          2.086; -0.010
          2.094;  0.030
          2.102;  0.080
          2.109;  0.090
          2.117;  0.000
          2.125; -0.050
          2.133; -0.130
          2.141; -0.180
          2.148; -0.160
          2.156; -0.150
          2.164; -0.130
          2.172; -0.130
          2.180; -0.140
          2.188; -0.130
          2.195; -0.140
          2.203; -0.040
          2.211;  0.340
          2.219;  0.710
          2.227; -1.050
          2.234; -1.870
          2.242; -1.580
          2.250; -1.250
          2.258; -0.540
          2.266; -0.170
          2.273; -0.070
          2.281; -0.070
          2.289; -0.030
          2.297; -0.010
          2.305;  0.010
          2.312;  0.020
          2.320;  0.030
          2.328;  0.040
          2.336;  0.040
          2.344;  0.040
          2.352;  0.060
          2.359;  0.080
          2.367;  0.080
          2.375;  0.090
          2.383;  0.100
          2.391;  0.110
          2.398;  0.120
          2.406;  0.140
          2.414;  0.150
          2.422;  0.170
          2.430;  0.150
          2.438;  0.160
          2.445;  0.140
          2.453;  0.120
          2.461;  0.120
          2.469;  0.080
          2.477;  0.040
          2.484;  0.030
          2.492;  0.010
          2.500; -0.020
          2.508; -0.030
          2.516; -0.010
          2.523; -0.030
          2.531; -0.010
          2.539;  0.000
          2.547;  0.010
          2.555;  0.010
          2.562;  0.020
          2.570;  0.020
          2.578;  0.010
          2.586;  0.000
          2.594;  0.000
          2.602;  0.010
          2.609;  0.010
          2.617;  0.020
          2.625;  0.010
          2.633;  0.010
          2.641;  0.030
          2.648;  0.030
          2.656;  0.010
          2.664;  0.020
          2.672;  0.010
          2.680;  0.030
          2.688;  0.010
          2.695; -0.010
          2.703;  0.010
          2.711;  0.010
          2.719;  0.000
          2.727; -0.010
          2.734; -0.010
          2.742; -0.010
          2.750; -0.020
          2.758; -0.010
          2.766; -0.010
          2.773; -0.020
          2.781; -0.050
          2.789; -0.020
          2.797; -0.030
          2.805; -0.020
          2.812; -0.050
          2.820; -0.030
          2.828; -0.040
          2.836; -0.040
          2.844; -0.010
          2.852;  0.030
          2.859; -0.020
          2.867;  0.070
          2.875;  0.060
          2.883;  0.130
          2.891;  0.100
          2.898;  0.030
          2.906; -0.020
          2.914; -0.120
          2.922; -0.140
          2.930; -0.150
          2.938; -0.110
          2.945; -0.130
          2.953; -0.130
          2.961; -0.140
          2.969; -0.120
          2.977; -0.140
          2.984;  0.080
          2.992;  0.340
          3.000;  0.670
          3.008; -0.810
          3.016; -1.640
          3.023; -1.350
          3.031; -1.110
          3.039; -0.610
          3.047; -0.210
          3.055; -0.110
          3.062; -0.090
          3.070; -0.060
          3.078; -0.030
          3.086; -0.030
          3.094;  0.000
          3.102;  0.000
          3.109;  0.010
          3.117;  0.020
          3.125;  0.040
          3.133;  0.050
          3.141;  0.040
          3.148;  0.060
          3.156;  0.080
          3.164;  0.080
          3.172;  0.100
          3.180;  0.120
          3.188;  0.140
          3.195;  0.150
          3.203;  0.170
          3.211;  0.170
          3.219;  0.170
          3.227;  0.160
          3.234;  0.150
          3.242;  0.140
          3.250;  0.100
          3.258;  0.100
          3.266;  0.060
          3.273;  0.020
          3.281;  0.000
          3.289;  0.010
          3.297; -0.020
          3.305; -0.020
          3.312; -0.010
          3.320; -0.020
          3.328;  0.010
          3.336;  0.000
          3.344;  0.000
          3.352;  0.010
          3.359;  0.010
          3.367;  0.010
          3.375;  0.020
          3.383;  0.020
          3.391;  0.030
          3.398;  0.020
          3.406;  0.030
          3.414;  0.030
          3.422;  0.020
          3.430;  0.030
          3.438;  0.020
          3.445;  0.010
          3.453;  0.010
          3.461;  0.010
          3.469; -0.010
          3.477;  0.000
          3.484;  0.000
          3.492;  0.010
          3.500; -0.020
          3.508;  0.000
          3.516; -0.010
          3.523; -0.020
          3.531; -0.010
          3.539; -0.010
          3.547; -0.020
          3.555; -0.020
          3.562; -0.020
          3.570; -0.020
          3.578; -0.020
          3.586; -0.030
          3.594; -0.020
          3.602; -0.020
          3.609; -0.040
          3.617; -0.020
          3.625;  0.020
          3.633;  0.040
          3.641;  0.040
          3.648;  0.080
          3.656;  0.120
          3.664;  0.150
          3.672;  0.060
          3.680;  0.010
          3.688; -0.050
          3.695; -0.140
          3.703; -0.110
          3.711; -0.120
          3.719; -0.110
          3.727; -0.100
          3.734; -0.100
          3.742; -0.080
          3.750; -0.100
          3.758; -0.030
          3.766;  0.350
          3.773;  0.610
          3.781; -0.460
          3.789; -1.880
          3.797; -1.900
          3.805; -1.250
          3.812; -0.630
          3.820; -0.260
          3.828; -0.030
          3.836; -0.040
          3.844;  0.000
          3.852;  0.020
          3.859;  0.040
          3.867;  0.050
          3.875;  0.070
          3.883;  0.070
          3.891;  0.090
          3.898;  0.100
          3.906;  0.120
          3.914;  0.110
          3.922;  0.150
          3.930;  0.150
          3.938;  0.180
          3.945;  0.190
          3.953;  0.210
          3.961;  0.220
          3.969;  0.240
          3.977;  0.250
          3.984;  0.260
          3.992;  0.260
          4.000;  0.240
          4.008;  0.230
          4.016;  0.190
          4.023;  0.170
          4.031;  0.130
          4.039;  0.090
          4.047;  0.040
          4.055;  0.000
          4.062;  0.000
          4.070; -0.010
          4.078; -0.020
          4.086; -0.020
          4.094;  0.000
          4.102;  0.000
          4.109;  0.010
          4.117;  0.000
          4.125;  0.000
          4.133; -0.010
          4.141;  0.010
          4.148;  0.000
          4.156;  0.000
          4.164;  0.020
          4.172;  0.010
          4.180;  0.020
          4.188;  0.030
          4.195;  0.030
          4.203;  0.050
          4.211;  0.050
          4.219;  0.050
          4.227;  0.050
          4.234;  0.050
          4.242;  0.040
          4.250;  0.030
          4.258;  0.040
          4.266;  0.020
          4.273;  0.030
          4.281;  0.010
          4.289;  0.020
          4.297;  0.000
          4.305;  0.010
          4.312;  0.010
          4.320;  0.010
          4.328; -0.010
          4.336; -0.010
          4.344;  0.000
          4.352; -0.020
          4.359; -0.010
          4.367; -0.010
          4.375; -0.010
          4.383; -0.020
          4.391; -0.010
          4.398; -0.020
          4.406; -0.020
          4.414; -0.020
          4.422; -0.020
          4.430;  0.020
          4.438;  0.050
          4.445;  0.020
          4.453;  0.090
          4.461;  0.100
          4.469;  0.160
          4.477;  0.070
          4.484;  0.010
          4.492; -0.050
          4.500; -0.120
          4.508; -0.100
          4.516; -0.100
          4.523; -0.080
          4.531; -0.070
          4.539; -0.090
          4.547; -0.100
          4.555; -0.090
          4.562; -0.050
          4.570;  0.340
          4.578;  0.580
          4.586; -0.420
          4.594; -1.840
          4.602; -1.800
          4.609; -1.220
          4.617; -0.570
          4.625; -0.220
          4.633; -0.040
          4.641; -0.030
          4.648; -0.020
          4.656;  0.010
          4.664;  0.020
          4.672;  0.050
          4.680;  0.050
          4.688;  0.040
          4.695;  0.060
          4.703;  0.080
          4.711;  0.080
          4.719;  0.110
          4.727;  0.110
          4.734;  0.120
          4.742;  0.140
          4.750;  0.140
          4.758;  0.180
          4.766;  0.180
          4.773;  0.210
          4.781;  0.210
          4.789;  0.220
          4.797;  0.220
          4.805;  0.220
          4.812;  0.190
          4.820;  0.180
          4.828;  0.160
          4.836;  0.140
          4.844;  0.090
          4.852;  0.040
          4.859;  0.020
          4.867;  0.000
          4.875;  0.010
          4.883;  0.020
          4.891;  0.010
          4.898;  0.020
          4.906;  0.030
          4.914;  0.030
          4.922;  0.040
          4.930;  0.030
          4.938;  0.040
          4.945;  0.030
          4.953;  0.030
          4.961;  0.020
          4.969;  0.040
          4.977;  0.040
          4.984;  0.030
          4.992;  0.040
          5.000;  0.040
          5.008;  0.040
          5.016;  0.040
          5.023;  0.050
          5.031;  0.060
          5.039;  0.040
          5.047;  0.040
          5.055;  0.040
          5.062;  0.020
          5.070;  0.020
          5.078;  0.020
          5.086;  0.010
          5.094;  0.010
          5.102;  0.000
          5.109; -0.010
          5.117; -0.020
          5.125; -0.020
          5.133; -0.010
          5.141; -0.020
          5.148; -0.030
          5.156; -0.020
          5.164; -0.030
          5.172; -0.030
          5.180; -0.040
          5.188; -0.030
          5.195; -0.030
          5.203; -0.040
          5.211; -0.050
          5.219; -0.050
          5.227; -0.030
          5.234; -0.040
          5.242;  0.010
          5.250;  0.030
          5.258;  0.010
          5.266;  0.060
          5.273;  0.090
          5.281;  0.140
          5.289;  0.040
          5.297; -0.010
          5.305; -0.070
          5.312; -0.140
          5.320; -0.120
          5.328; -0.100
          5.336; -0.080
          5.344; -0.080
          5.352; -0.100
          5.359; -0.060
          5.367; -0.100
          5.375; -0.050
          5.383;  0.340
          5.391;  0.590
          5.398; -0.410
          5.406; -1.790
          5.414; -1.750
          5.422; -1.160
          5.430; -0.560
          5.438; -0.210
          5.445; -0.010
          5.453; -0.010
          5.461;  0.010
          5.469;  0.040
          5.477;  0.050
          5.484;  0.070
          5.492;  0.090
          5.500;  0.080
          5.508;  0.090
          5.516;  0.090
          5.523;  0.100
          5.531;  0.110
          5.539;  0.130
          5.547;  0.130
          5.555;  0.140
          5.562;  0.160
          5.570;  0.160
          5.578;  0.190
          5.586;  0.180
          5.594;  0.200
          5.602;  0.210
          5.609;  0.210
          5.617;  0.190
          5.625;  0.170
          5.633;  0.160
          5.641;  0.150
          5.648;  0.120
          5.656;  0.090
          5.664;  0.050
          5.672;  0.030
          5.680;  0.010
          5.688;  0.020
          5.695;  0.020
          5.703;  0.020
          5.711;  0.040
          5.719;  0.030
          5.727;  0.030
          5.734;  0.020
          5.742;  0.050
          5.750;  0.040
          5.758;  0.040
          5.766;  0.040
          5.773;  0.040
          5.781;  0.040
          5.789;  0.040
          5.797;  0.060
          5.805;  0.060
          5.812;  0.070
          5.820;  0.050
          5.828;  0.070
          5.836;  0.070
          5.844;  0.060
          5.852;  0.060
          5.859;  0.070
          5.867;  0.050
          5.875;  0.060
          5.883;  0.030
          5.891;  0.020
          5.898;  0.020
          5.906;  0.030
          5.914;  0.020
          5.922;  0.010
          5.930;  0.020
          5.938;  0.010
          5.945;  0.000
          5.953;  0.000
          5.961;  0.000
          5.969;  0.010
          5.977; -0.020
          5.984; -0.010
          5.992; -0.010
          6.000; -0.020
          6.008; -0.020
          6.016; -0.020
          6.023; -0.010
          6.031; -0.020
          6.039; -0.020
          6.047;  0.030
          6.055;  0.050
          6.062;  0.010
          6.070;  0.090
          6.078;  0.130
          6.086;  0.140
          6.094;  0.070
          6.102;  0.020
          6.109; -0.050
          6.117; -0.110
          6.125; -0.090
          6.133; -0.090
          6.141; -0.090
          6.148; -0.100
          6.156; -0.100
          6.164; -0.090
          6.172; -0.120
          6.180; -0.060
          6.188;  0.260
          6.195;  0.560
          6.203; -0.050
          6.211; -1.590
          6.219; -1.530
          6.227; -1.150
          6.234; -0.620
          6.242; -0.300
          6.250; -0.040
          6.258; -0.050
          6.266; -0.030
          6.273;  0.000
          6.281;  0.030
          6.289;  0.020
          6.297;  0.040
          6.305;  0.060
          6.312;  0.080
          6.320;  0.070
          6.328;  0.090
          6.336;  0.100
          6.344;  0.090
          6.352;  0.130
          6.359;  0.130
          6.367;  0.150
          6.375;  0.140
          6.383;  0.160
          6.391;  0.180
          6.398;  0.180
          6.406;  0.190
          6.414;  0.190
          6.422;  0.190
          6.430;  0.170
          6.438;  0.170
          6.445;  0.160
          6.453;  0.130
          6.461;  0.120
          6.469;  0.090
          6.477;  0.060
          6.484;  0.030
          6.492;  0.030
          6.500;  0.020
          6.508;  0.010
          6.516;  0.040
          6.523;  0.030
          6.531;  0.030
          6.539;  0.040
          6.547;  0.030
          6.555;  0.050
          6.562;  0.050
          6.570;  0.060
          6.578;  0.060
          6.586;  0.050
          6.594;  0.070
          6.602;  0.050
          6.609;  0.050
          6.617;  0.050
          6.625;  0.060
          6.633;  0.050
          6.641;  0.040
          6.648;  0.040
          6.656;  0.040
          6.664;  0.020
          6.672;  0.020
          6.680;  0.030
          6.688;  0.020
          6.695;  0.010
          6.703;  0.020
          6.711;  0.010
          6.719;  0.020
          6.727;  0.010
          6.734;  0.010
          6.742;  0.000
          6.750;  0.010
          6.758;  0.000
          6.766;  0.010
          6.773;  0.010
          6.781;  0.000
          6.789;  0.000
          6.797;  0.000
          6.805;  0.000
          6.812; -0.010
          6.820;  0.000
          6.828;  0.010
          6.836;  0.040
          6.844;  0.090
          6.852;  0.050
          6.859;  0.130
          6.867;  0.100
          6.875;  0.200
          6.883;  0.100
          6.891;  0.050
          6.898;  0.000
          6.906; -0.110
          6.914; -0.100
          6.922; -0.110
          6.930; -0.080
          6.938; -0.060
          6.945; -0.090
          6.953; -0.090
          6.961; -0.080
          6.969; -0.070
          6.977;  0.250
          6.984;  0.500
          6.992;  0.430
          7.000; -1.720
          7.008; -1.890
          7.016; -1.190
          7.023; -0.790
          7.031; -0.350
          7.039; -0.020
          7.047;  0.000
          7.055;  0.000
          7.062;  0.020
          7.070;  0.050
          7.078;  0.060
          7.086;  0.070
          7.094;  0.100
          7.102;  0.110
          7.109;  0.110
          7.117;  0.120
          7.125;  0.140
          7.133;  0.140
          7.141;  0.160
          7.148;  0.180
          7.156;  0.190
          7.164;  0.200
          7.172;  0.220
          7.180;  0.250
          7.188;  0.250
          7.195;  0.260
          7.203;  0.260
          7.211;  0.260
          7.219;  0.240
          7.227;  0.220
          7.234;  0.220
          7.242;  0.170
          7.250;  0.120
          7.258;  0.080
          7.266;  0.050
          7.273;  0.020
          7.281;  0.010
          7.289;  0.010
          7.297;  0.030
          7.305;  0.030
          7.312;  0.040
          7.320;  0.040
          7.328;  0.050
          7.336;  0.040
          7.344;  0.060
          7.352;  0.050
          7.359;  0.040
          7.367;  0.040
          7.375;  0.050
          7.383;  0.040
          7.391;  0.040
          7.398;  0.050
          7.406;  0.050
          7.414;  0.040
          7.422;  0.050
          7.430;  0.040
          7.438;  0.040
          7.445;  0.040
          7.453;  0.040
          7.461;  0.030
          7.469;  0.020
          7.477;  0.010
          7.484;  0.000
          7.492; -0.010
          7.500; -0.010
          7.508; -0.010
          7.516; -0.010
          7.523; -0.020
          7.531; -0.020
          7.539; -0.030
          7.547; -0.020
          7.555; -0.040
          7.562; -0.040
          7.570; -0.040
          7.578; -0.050
          7.586; -0.050
          7.594; -0.050
          7.602; -0.050
          7.609; -0.070
          7.617; -0.060
          7.625; -0.040
          7.633;  0.020
          7.641; -0.020
          7.648;  0.050
          7.656;  0.060
          7.664;  0.130
          7.672;  0.030
          7.680; -0.020
          7.688; -0.070
          7.695; -0.180
          7.703; -0.160
          7.711; -0.150
          7.719; -0.130
          7.727; -0.130
          7.734; -0.130
          7.742; -0.140
          7.750; -0.130
          7.758; -0.120
          7.766;  0.210
          7.773;  0.440
          7.781;  0.550
          7.789; -1.750
          7.797; -1.930
          7.805; -1.220
          7.812; -0.940
          7.820; -0.380
          7.828; -0.040
          7.836; -0.050
          7.844; -0.020
          7.852;  0.010
          7.859;  0.020
          7.867;  0.020
          7.875;  0.050
          7.883;  0.050
          7.891;  0.060
          7.898;  0.080
          7.906;  0.090
          7.914;  0.090
          7.922;  0.100
          7.930;  0.110
          7.938;  0.130
          7.945;  0.140
          7.953;  0.160
          7.961;  0.180
          7.969;  0.200
          7.977;  0.210
          7.984;  0.230
          7.992;  0.230
          8.000;  0.220
          8.008;  0.210
          8.016;  0.180
          8.023;  0.150
          8.031;  0.130
          8.039;  0.100
          8.047;  0.050
          8.055;  0.010
          8.062; -0.010
          8.070; -0.010
          8.078; -0.010
          8.086; -0.020
          8.094;  0.010
          8.102;  0.020
          8.109;  0.040
          8.117;  0.040
          8.125;  0.040
          8.133;  0.040
          8.141;  0.040
          8.148;  0.040
          8.156;  0.040
          8.164;  0.030
          8.172;  0.050
          8.180;  0.050
          8.188;  0.040
          8.195;  0.050
          8.203;  0.080
          8.211;  0.070
          8.219;  0.080
          8.227;  0.080
          8.234;  0.080
          8.242;  0.070
          8.250;  0.060
          8.258;  0.060
          8.266;  0.070
          8.273;  0.050
          8.281;  0.040
          8.289;  0.040
          8.297;  0.040
          8.305;  0.020
          8.312;  0.050
          8.320;  0.030
          8.328;  0.020
          8.336;  0.000
          8.344;  0.020
          8.352;  0.010
          8.359; -0.010
          8.367;  0.000
          8.375;  0.000
          8.383; -0.030
          8.391; -0.020
          8.398; -0.030
          8.406; -0.020
          8.414; -0.030
          8.422; -0.020
          8.430; -0.010
          8.438;  0.030
          8.445;  0.010
          8.453;  0.040
          8.461;  0.070
          8.469;  0.140
          8.477;  0.100
          8.484;  0.040
          8.492; -0.010
          8.500; -0.130
          8.508; -0.140
          8.516; -0.120
          8.523; -0.120
          8.531; -0.120
          8.539; -0.110
          8.547; -0.110
          8.555; -0.100
          8.562; -0.110
          8.570;  0.030
          8.578;  0.340
          8.586;  0.710
          8.594; -0.980
          8.602; -1.840
          8.609; -1.580
          8.617; -1.260
          8.625; -0.520
          8.633; -0.170
          8.641; -0.060
          8.648; -0.050
          8.656; -0.030
          8.664; -0.010
          8.672;  0.000
          8.680;  0.020
          8.688;  0.040
          8.695;  0.040
          8.703;  0.070
          8.711;  0.060
          8.719;  0.080
          8.727;  0.100
          8.734;  0.110
          8.742;  0.120
          8.750;  0.130
          8.758;  0.150
          8.766;  0.150
          8.773;  0.180
          8.781;  0.180
          8.789;  0.200
          8.797;  0.200
          8.805;  0.190
          8.812;  0.200
          8.820;  0.180
          8.828;  0.160
          8.836;  0.130
          8.844;  0.120
          8.852;  0.070
          8.859;  0.030
          8.867;  0.000
          8.875; -0.010
          8.883; -0.020
          8.891; -0.010
          8.898;  0.000
          8.906;  0.020
          8.914;  0.010
          8.922;  0.030
          8.930;  0.030
          8.938;  0.030
          8.945;  0.040
          8.953;  0.050
          8.961;  0.050
          8.969;  0.040
          8.977;  0.050
          8.984;  0.040
          8.992;  0.070
          9.000;  0.060
          9.008;  0.070
          9.016;  0.060
          9.023;  0.060
          9.031;  0.060
          9.039;  0.060
          9.047;  0.040
          9.055;  0.040
          9.062;  0.040
          9.070;  0.040
          9.078;  0.030
          9.086;  0.000
          9.094;  0.020
          9.102;  0.000
          9.109; -0.010
          9.117;  0.000
          9.125;  0.010
          9.133; -0.010
          9.141; -0.010
          9.148; -0.020
          9.156; -0.020
          9.164; -0.020
          9.172; -0.040
          9.180; -0.020
          9.188; -0.020
          9.195; -0.030
          9.203; -0.020
          9.211; -0.030
          9.219; -0.040
          9.227; -0.030
          9.234;  0.000
          9.242;  0.040
          9.250;  0.000
          9.258;  0.080
          9.266;  0.060
          9.273;  0.160
          9.281;  0.080
          9.289;  0.030
          9.297; -0.010
          9.305; -0.150
          9.312; -0.100
          9.320; -0.110
          9.328; -0.100
          9.336; -0.080
          9.344; -0.110
          9.352; -0.090
          9.359; -0.090
          9.367; -0.090
          9.375;  0.230
          9.383;  0.490
          9.391;  0.600
          9.398; -1.550
          9.406; -1.700
          9.414; -1.110
          9.422; -0.800
          9.430; -0.420
          9.438; -0.040
          9.445; -0.050
          9.453; -0.010
          9.461;  0.010
          9.469;  0.020
          9.477;  0.030
          9.484;  0.040
          9.492;  0.070
          9.500;  0.060
          9.508;  0.070
          9.516;  0.090
          9.523;  0.080
          9.531;  0.090
          9.539;  0.100
          9.547;  0.110
          9.555;  0.110
          9.562;  0.140
          9.570;  0.140
          9.578;  0.150
          9.586;  0.140
          9.594;  0.140
          9.602;  0.140
          9.609;  0.140
          9.617;  0.130
          9.625;  0.110
          9.633;  0.090
          9.641;  0.070
          9.648;  0.060
          9.656;  0.020
          9.664;  0.020
          9.672;  0.010
          9.680; -0.010
          9.688; -0.030
          9.695; -0.020
          9.703; -0.020
          9.711;  0.010
          9.719; -0.010
          9.727;  0.000
          9.734; -0.010
          9.742; -0.010
          9.750; -0.010
          9.758; -0.010
          9.766; -0.010
          9.773; -0.010
          9.781; -0.020
          9.789; -0.010
          9.797; -0.010
          9.805; -0.020
          9.812;  0.000
          9.820;  0.010
          9.828; -0.010
          9.836; -0.020
          9.844; -0.030
          9.852; -0.010
          9.859; -0.020
          9.867; -0.030
          9.875; -0.020
          9.883; -0.010
          9.891; -0.020
          9.898; -0.020
          9.906; -0.020
          9.914; -0.030
          9.922; -0.020
          9.930; -0.020
          9.938; -0.040
          9.945; -0.040
          9.953; -0.030
          9.961; -0.030
          9.969; -0.030
          9.977; -0.040
          9.984; -0.040
          9.992; -0.050
         10.000; -0.040
         10.008; -0.040
         10.016; -0.030
         10.023; -0.030
         10.031;  0.030
         10.039; -0.010
         10.047;  0.060
         10.055;  0.040
         10.062;  0.150
         10.070;  0.090
         10.078;  0.020
         10.086; -0.020
         10.094; -0.120
         10.102; -0.130
         10.109; -0.130
         10.117; -0.100
         10.125; -0.110
         10.133; -0.120
         10.141; -0.130
         10.148; -0.110
         10.156; -0.120
         10.164;  0.150
         10.172;  0.440
         10.180;  0.730
         10.188; -1.120
         10.195; -1.580
         10.203; -1.230
         10.211; -0.900
         10.219; -0.540
         10.227; -0.090
         10.234; -0.060
         10.242; -0.050
         10.250; -0.020
         10.258;  0.010
         10.266;  0.030
         10.273;  0.040
         10.281;  0.060
         10.289;  0.050
         10.297;  0.080
         10.305;  0.080
         10.312;  0.100
         10.320;  0.120
         10.328;  0.130
         10.336;  0.140
         10.344;  0.180
         10.352;  0.180
         10.359;  0.190
         10.367;  0.230
         10.375;  0.250
         10.383;  0.250
         10.391;  0.260
         10.398;  0.270
         10.406;  0.250
         10.414;  0.240
         10.422;  0.220
         10.430;  0.200
         10.438;  0.150
         10.445;  0.100
         10.453;  0.080
         10.461;  0.050
         10.469;  0.040
         10.477;  0.030
         10.484;  0.030
         10.492;  0.030
         10.500;  0.040
         10.508;  0.040
         10.516;  0.050
         10.523;  0.050
         10.531;  0.060
         10.539;  0.050
         10.547;  0.070
         10.555;  0.050
         10.562;  0.080
         10.570;  0.070
         10.578;  0.070
         10.586;  0.080
         10.594;  0.070
         10.602;  0.070
         10.609;  0.070
         10.617;  0.070
         10.625;  0.060
         10.633;  0.050
         10.641;  0.050
         10.648;  0.050
         10.656;  0.040
         10.664;  0.030
         10.672;  0.050
         10.680;  0.030
         10.688;  0.030
         10.695;  0.020
         10.703;  0.020
         10.711;  0.020
         10.719;  0.020
         10.727;  0.030
         10.734;  0.030
         10.742;  0.020
         10.750;  0.020
         10.758;  0.020
         10.766;  0.010
         10.773;  0.010
         10.781;  0.010
         10.789;  0.010
         10.797;  0.010
         10.805;  0.000
         10.812;  0.000
         10.820;  0.000
         10.828; -0.010
         10.836;  0.000
         10.844;  0.020
         10.852;  0.060
         10.859;  0.050
         10.867;  0.080
         10.875;  0.100
         10.883;  0.180
         10.891;  0.130
         10.898;  0.070
